"hanZi","unicode","gbk","pinYin","buShou","biHua","wuXing","fanTi","wuBi"
"一","0x4e00","d2bb","yī","一","1","土","一","GGLL"
"丁","0x4e01","b6a1","dīng zhēng","一","2","火","丁","SGH"
"丂","0x4e02","8140","kǎo qiǎo yú","一","2","null","丂","GNV"
"七","0x4e03","c6df","qī","一","2","金","七","AGN"
"丄","0x4e04","8141","shàng","一","2","null","丄","HGD"
"丅","0x4e05","8142","xià","一","2","null","丅","GHK"
"丆","0x4e06","8143","hǎn","一","2","null","丆","DGT"
"万","0x4e07","cdf2","wàn mò","一","3","水","萬","DNV"
"丈","0x4e08","d5c9","zhàng","一","3","火","丈","DYI"
"三","0x4e09","c8fd","sān","一","3","金","三","DGGG"
"上","0x4e0a","c9cf","shàng shǎng shang","⺊","3","金","上","HHGG"
"下","0x4e0b","cfc2","xià","一","3","水","下","GHI"
"丌","0x4e0c","d8a2","qí jī","一","3","木","丌","GJK"
"不","0x4e0d","b2bb","bù fǒu","一","4","水","不","GII"
"与","0x4e0e","d3eb","yǔ yù yú","一","3","土","與","GNGD"
"丏","0x4e0f","8144","miǎn","一","4","null","丏","GHNN"
"丐","0x4e10","d8a4","gài","一","4","木","丐","GHNV"
"丑","0x4e11","b3f3","chǒu","一、乛","4","土","醜","NFD"
"丒","0x4e12","8145","chǒu","一","4","null","丒","VYGF"
"专","0x4e13","d7a8","zhuān","一","4","金","專","FNYI"
"且","0x4e14","c7d2","qiě jū","一、丨","5","金","且","null"
"丕","0x4e15","d8a7","pī","一","5","水","丕","GIGF"
"世","0x4e16","cac0","shì","一","5","金","世","ANV"
"丗","0x4e17","8146","shì","一","5","null","丗","GKGD"
"丘","0x4e18","c7f0","qiū","丿","5","木","丘","RGD"
"丙","0x4e19","b1fb","bǐng","一","5","火","丙","GMWI"
"业","0x4e1a","d2b5","yè","业","5","木","業","OGD"
"丛","0x4e1b","b4d4","cóng","一","5","火","叢","WWGF"
"东","0x4e1c","b6ab","null","null",,"null","null","null"
"丝","0x4e1d","cbbf","sī","一","5","金","絲","XXGF"
"丞","0x4e1e","d8a9","chéng","一","6","金","丞","BIGF"
"丟","0x4e1f","8147","diū","一","6","null","丟","GCU"
"丠","0x4e20","8148","qiū","一","6","null","丠","UXGF"
"両","0x4e21","8149","liǎng","一","6","null","両","GMMK"
"丢","0x4e22","b6aa","diū","厶","6","金","丢","TFCU"
"丣","0x4e23","814a","yǒu","一","7","null","丣","GAJN"
"两","0x4e24","c1bd","liǎng","一","7","火","兩","GMWW"
"严","0x4e25","d1cf","yán","一","7","木","嚴","GODR"
"並","0x4e26","814b","bìng","丷","8","null","並","UOGF"
"丧","0x4e27","c9a5","sàng sāng","十","8","金","喪","FUEU"
"丨","0x4e28","d8ad","gǔn","丨","1","null","丨","HHLL"
"丩","0x4e29","814c","jiū","丨","2","null","丩","NHK"
"个","0x4e2a","b8f6","gè gě","人","3","土","個","WHJ"
"丫","0x4e2b","d1be","yā","丷","3","土","丫","UHK"
"丬","0x4e2c","e3dc","pán","丨","3","null","丬","UYGH"
"中","0x4e2d","d6d0","zhōng zhòng","丨","4","火","中","KHK"
"丮","0x4e2e","814d","jǐ","丨","4","null","丮","NFHK"
"丯","0x4e2f","814e","jiè","丨","4","null","丯","EHK"
"丰","0x4e30","b7e1","null","null",,"null","null","null"
"丱","0x4e31","814f","guàn kuàng","丨","5","null","丱","NJHG"
"串","0x4e32","b4ae","chuàn","丨","7","金","串","KKHK"
"丳","0x4e33","8150","chǎn","丨","8","null","丳","KKJK"
"临","0x4e34","c1d9","lín","丨","9","火","臨","JTYJ"
"丵","0x4e35","8151","zhuó","业","10","null","丵","OGUF"
"丶","0x4e36","d8bc","zhǔ","丶","1","null","丶","YYLL"
"丷","0x4e37","8152","bā","丶","2","null","丷","UYT"
"丸","0x4e38","cde8","wán","丿","3","土","丸","VYI"
"丹","0x4e39","b5a4","dān","丿","4","火","丹","MYD"
"为","0x4e3a","ceaa","wéi wèi","丶","4","土","爲","YLYI"
"主","0x4e3b","d6f7","zhǔ","亠","5","金","主","YGD"
"丼","0x4e3c","8153","jǐng dǎn","丶","5","null","丼","FJYI"
"丽","0x4e3d","c0f6","lì lí","一","7","火","麗","GMYY"
"举","0x4e3e","bed9","jǔ","丶","9","木","舉","IWFH"
"丿","0x4e3f","d8af","piě","丿","1","null","丿","TTLL"
"乀","0x4e40","8154","fú","丿","2","null","乀","YYLL"
"乁","0x4e41","8155","yí jí","丿","2","null","乁","YYLL"
"乂","0x4e42","8156","yì","丿","2","null","乂","QTY"
"乃","0x4e43","c4cb","nǎi","乛","2","火","乃","ETN"
"乄","0x4e44","8157","wǔ","丿","2","null","乄","NYI"
"久","0x4e45","bec3","jiǔ","丿","3","木","久","QYI"
"乆","0x4e46","8158","jiǔ","丿","3","null","乆","NWI"
"乇","0x4e47","d8b1","tuō zhé","丿","3","火","乇","TAV"
"么","0x4e48","c3b4","me mó yāo ma","丿","3","水","麽","TCU"
"义","0x4e49","d2e5","yì","丶","3","木","義","YQI"
"乊","0x4e4a","8159","yī","丿","3","null","乊","TUR"
"之","0x4e4b","d6ae","zhī","丶","3","火","之","PPPP"
"乌","0x4e4c","ceda","null","null",,"null","null","null"
"乍","0x4e4d","d5a7","zhà","丿","5","金","乍","THFD"
"乎","0x4e4e","baf5","hū","丿","5","水","乎","TUHK"
"乏","0x4e4f","b7a6","fá","丿","4","金","乏","TPI"
"乐","0x4e50","c0d6","null","null",,"null","null","null"
"乑","0x4e51","815a","yín","丿","6","null","乑","TII"
"乒","0x4e52","c6b9","pīng","丿","6","水","乒","RGTR"
"乓","0x4e53","c5d2","pāng","丿","6","火","乓","RGYU"
"乔","0x4e54","c7c7","qiáo","丿","6","木","喬","TDJJ"
"乕","0x4e55","815b","hǔ","丿","7","null","乕","RFMH"
"乖","0x4e56","b9d4","guāi","丿","8","木","乖","TFUX"
"乗","0x4e57","815c","chéng shèng","丿","9","null","乗","TGAS"
"乘","0x4e58","b3cb","chéng shèng","丿、禾","10","金","乘","TUXV"
"乙","0x4e59","d2d2","yǐ","乙","1","木","乙","NNLL"
"乚","0x4e5a","815d","háo yǐ","乚","1","null","乚","NNLL"
"乛","0x4e5b","815e","yǐ","乙","1","null","乛","NNLL"
"乜","0x4e5c","d8bf","niè miē","乙","2","水","乜","NNV"
"九","0x4e5d","bec5","jiǔ","丿","2","木","九","VTN"
"乞","0x4e5e","c6f2","qǐ","乙","3","木","乞","TNB"
"也","0x4e5f","d2b2","yě","乛","3","土","也","BNHN"
"习","0x4e60","cfb0","xí","乛","3","水","習","NUD"
"乡","0x4e61","cfe7","xiāng","乛","3","水","鄉","XTE"
"乢","0x4e62","815f","gài","乚","4","null","乢","MNN"
"乣","0x4e63","8160","jiǔ","乚","4","null","乣","XNN"
"乤","0x4e64","8161","xià","乙","4","null","乤","GHNB"
"乥","0x4e65","8162","hol","乙","4","null","乥","TUNB"
"书","0x4e66","cae9","null","null",,"null","null","null"
"乧","0x4e67","8163","dǒu","乙","5","null","乧","UFNB"
"乨","0x4e68","8164","shǐ","乚","6","null","乨","CKNN"
"乩","0x4e69","d8c0","jī","乙","6","木","乩","HKNN"
"乪","0x4e6a","8165","náng","乙","6","null","乪","NLD"
"乫","0x4e6b","8166","jiā","乙","6","null","乫","LKNB"
"乬","0x4e6c","8167","jù","乙","5","null","乬","ANNB"
"乭","0x4e6d","8168","shí","乙","6","null","乭","DNB"
"乮","0x4e6e","8169","mǎo","乙","6","null","乮","QTBN"
"乯","0x4e6f","816a","hū","乙","6","null","乯","null"
"买","0x4e70","c2f2","mǎi","乛","6","水","買","NUDU"
"乱","0x4e71","c2d2","luàn","舌","7","火","亂","TDNN"
"乲","0x4e72","816b","null","null",,"null","null","null"
"乳","0x4e73","c8e9","rǔ","爫、乚","8","火","乳","EBNN"
"乴","0x4e74","816c","xué","乙","8","null","乴","RRNB"
"乵","0x4e75","816d","yǎn","乚","8","null","乵","UNN"
"乶","0x4e76","816e","fǔ","乙","8","null","乶","GEHN"
"乷","0x4e77","816f","shā","乙","8","null","乷","null"
"乸","0x4e78","8170","nǎ","乙","8","null","乸","BXGU"
"乹","0x4e79","8171","qián","乚","9","null","乹","FJNN"
"乺","0x4e7a","8172","suǒ","乙","9","null","乺","RNRN"
"乻","0x4e7b","8173","yú","乙","9","null","乻","YWUN"
"乼","0x4e7c","8174","zhù","乙","9","null","乼","IYGN"
"乽","0x4e7d","8175","zhě","乙","9","null","乽","FTJN"
"乾","0x4e7e","c7ac","null","null",,"null","null","null"
"乿","0x4e7f","8176","zhì luàn","乚","11","null","乿","EXIN"
"亀","0x4e80","8177","guī","刀","11","null","亀","QJJN"
"亁","0x4e81","8178","qián","十","12","null","亁","FJFN"
"亂","0x4e82","8179","luàn","乚","13","null","null","ECMN"
"亃","0x4e83","817a","lǐn lìn","乚","13","null","亃","OQAN"
"亄","0x4e84","817b","yì","乚","13","null","亄","FPGN"
"亅","0x4e85","817c","jué","亅","1","null","亅","HHLL"
"了","0x4e86","c1cb","le liǎo","乛","2","火","瞭","BNH"
"亇","0x4e87","817d","gè mā","丿","3","null","亇","QHJ"
"予","0x4e88","d3e8","yǔ yú","乛","4","土","予","CBJ"
"争","0x4e89","d5f9","zhēng","⺈","6","火","争","QVHJ"
"亊","0x4e8a","817e","shì","亅","7","null","亊","GUVH"
"事","0x4e8b","cac2","shì","一","8","金","事","GKVH"
"二","0x4e8c","b6fe","null","null",,"null","null","null"
"亍","0x4e8d","d8a1","chù","二","3","金","亍","FHK"
"于","0x4e8e","d3da","yú","一","3","土","于","null"
"亏","0x4e8f","bff7","kuī","一","3","木","虧","FNV"
"亐","0x4e90","8180","yú","二","3","null","亐","FNV"
"云","0x4e91","d4c6","null","null",,"null","null","null"
"互","0x4e92","bba5","hù","一","4","水","互","GXGD"
"亓","0x4e93","d8c1","qí","二","4","木","亓","FJJ"
"五","0x4e94","cee5","wǔ","一","4","木","五","null"
"井","0x4e95","beae","null","null",,"null","null","null"
